Index,Name,Meaning,Korean,Sex
334,Magne Malmdør,Magne (MAHG-ne) Ore-Door,마그네 말름되르,
335,Nils Svartmetall,Nils (NILS) Black-Metal,닐스 스바르트메탈,
336,Olav Tungstein,Olav (OH-lav) Tungsten,올라브 퉁스타인,
337,Per Bergkne,Per (PEHR) Mountain-Knee,페르 베르그크네,
338,Ragnar Jernskalle,Ragnar (RAG-nar) Iron-Skull,라그나르 예른스칼레,
339,Sigurd Steinbrann,Sigurd (SEE-gurd) Stone-Fire,시구르드 스타인브란,
340,Torvald Dypkjeller,Torvald (TOR-vald) Deep-Cellar,토르발드 뒤프셸레르,
341,Ulf Malmås,Ulf (ULF) Ore-Ridge,울프 말름오스,
342,Valdemar Klippekne,Valdemar (VAL-de-mar) Cliff-Knee,발데마르 클리페크네,
343,Are Stålbryn,Are (AH-re) Steel-Brow,아레 스톨브륀,
344,Bjørn Grubbegrav,Bjørn (BYURN) Mine-Grave,비외른 그루베그라브,
345,Dag Hardøks,Dag (DAHG) Hard-Axe,다그 하르되크스,
346,Einar Jernøks,Einar (AY-nar) Iron-Axe,에이나르 예른외크스,
347,Finn Malmsmed,Finn (FINN) Ore-Smith,핀 말름스메드,
348,Gudmund Bergfest,Gudmund (GOOD-mund) Mountain-Fest,구드문 베르그페스트,
349,Halvor Jernklave,Halvor (HAL-vor) Iron-Claw,할보르 예른클라베,
350,Ivar Steinbøyle,Ivar (EE-var) Stone-Arch,이바르 스타인뵈윌레,
351,Jostein Dypgraver,Jostein (YOH-stine) Deep-Digger,요스타인 뒤프그라베르,
352,Knut Malmskrå,Knut (KNOOT) Ore-Slope,크누트 말름스크로,
353,Bjørn Bjergsten,Bjørn (BYURN) Mountain-Stone,비외른 비예르그스텐,남성
354,Astrid Dybdal,Astrid (AH-strid) Deep-Valley,아스트리드 뒵달,여성
355,Gunnar Hammerfist,Gunnar (GOON-nar) Hammer-Fist,군나르 함메르피스트,남성
356,Freja Klippefod,Freja (FREY-ah) Cliff-Foot,프레야 클리페포드,여성
357,Hakon Stenbro,Hakon (HAY-kon) Stone-Bridge,하콘 스텐브로,남성
358,Ingrid Malmvej,Ingrid (ING-grid) Ore-Way,잉그리드 말름베이,여성
359,Kaj Smid,Kaj (KAI) Smith,카이 스미드,남성
360,Linnea Dybstrøm,Linnea (lin-NAY-a) Deep-Stream,린네아 뒵스트룀,여성
361,Mads Jernskæg,Mads (MAHDZ) Iron-Beard,마스 예르은스케그,남성
362,Nora Guldåre,Nora (NOH-ra) Gold-Vein,노라 굴드오레,여성
363,Olav Smedjer,Olav (OH-lav) Blacksmith,올라브 스메드예르,남성
364,Solveig Tungfod,Solveig (SOL-vayg) Heavy-Foot,솔베이그 퉁포드,여성
365,Torben Stenbider,Torben (TOR-ben) Stone-Biter,토르벤 스텐비더,남성
366,Ursa Gråsten,Ursa (UR-sa) Graystone,우르사 그로스텐,여성
367,Valdemar Jordbunden,Valdemar (VAL-de-mar) Earth-Bound,발데마르 요르분덴,남성
368,Wilma Klippehjerte,Wilma (VIL-ma) Cliff-Heart,빌마 클리페히에르테,여성
369,Anders Grubber,Anders (AHN-ders) Grumbler,안데르스 그루베르,남성
370,Birgitte Malmkone,Birgitte (bir-GIT-te) Ore-Woman,비르기테 말름코네,여성
371,Dagfinn Jernkæbe,Dagfinn (DAHG-fin) Iron-Jaw,다그핀 예르은케베,남성
372,Elin Dybhule,Elin (EH-lin) Deep-Hole,엘린 뒵훌레,여성
373,Folke Bergvogter,Folke (FOL-ke) Mountain-Guard,폴케 베르그보그터,남성
374,Gunhild Malmgrund,Gunhild (GOON-hild) Ore-Ground,군힐드 말름그룬,여성
375,Gustav Stenmester,Gustav (GOOS-tav) Stone-Master,구스타브 스텐메스테르,남성
376,Hedvig Grådal,Hedvig (HED-vig) Gray-Valley,헤드비그 그로달,여성
377,Iver Svartskæg,Iver (EE-ver) Black-Beard,이베르 스바르트스케그,남성
378,Karen Jernbryder,Karen (KAH-ren) Iron-Breaker,카렌 예르은브뤼데르,여성
379,Lars Hammarsmed,Lars (LARSH) Hammer-Smith,라르스 함마르스메드,남성
380,Mette Dybtsind,Mette (MET-te) Deep-Minded,메테 뒵트신,여성
381,Niels Bjergvokter,Niels (NEELS) Mountain-Guardian,닐스 비예르그복터,남성
382,Olga Malmrod,Olga (OL-gah) Ore-Root,올가 말름로드,여성
383,Peder Stenbrud,Peder (PEH-der) Stone-Quarry,페데르 스텐브루드,남성
384,Randi Klippefast,Randi (RAN-di) Cliff-Fast,란디 클리페파스트,여성
385,Svend Jernfaste,Svend (SVEND) Iron-Fast,스벤 예르은파스테,남성
386,Signe Stenbro,Signe (SING-ne) Stone-Bridge,시그네 스텐브로,여성
387,Tage Stenblok,Tage (TAH-ge) Stone-Block,타게 스텐블록,남성
388,Ulla Guldåre,Ulla (UL-lah) Gold-Vein,울라 굴드오레,여성
389,Viktor Bjergklang,Viktor (VIK-tor) Mountain-Sound,빅토르 비예르그클랑,남성
390,Ylva Malmgang,Ylva (YOOL-va) Ore-Passage,윌바 말름강,여성
391,Axel Dybklipper,Axel (AK-sel) Deep-Clipper,악셀 뒵클리페르,남성
392,Birthe Stenmur,Birthe (BIR-te) Stone-Wall,비르테 스텐무르,여성
393,Carl Jernryg,Carl (KARL) Iron-Back,칼 예르은뤼그,남성
394,Doris Bjergdal,Doris (DOH-ris) Mountain-Valley,도리스 비예르그달,여성
395,Erik Malmhjerte,Erik (EH-rik) Ore-Heart,에리크 말름히에르테,남성
396,Frida Stenbrud,Frida (FREE-da) Stone-Quarry,프리다 스텐브루드,여성
397,Gunnar Hammersmed,Gunnar (GOON-nar) Hammer-Smith,군나르 함마르스메드,남성
398,Helene Dybtunnel,Helene (HEH-le-ne) Deep-Tunnel,헬레네 뒵툰넬,여성
399,Isak Jernarm,Isak (EE-sak) Iron-Arm,이사크 예르은아름,남성
400,Jenny Bjergsdatter,Jenny (YEN-ni) Mountain-Daughter,예니 비예르그스다테르,여성
401,Klaus Malmstrøm,Klaus (KLAUS) Ore-Stream,클라우스 말름스트룀,남성
402,Line Gråsten,Line (LEE-ne) Graystone,리네 그로스텐,여성
403,Morten Stenhugger,Morten (MOR-ten) Stone-Carver,모르텐 스텐후게르,남성
404,Nanna Guldbæk,Nanna (NAN-na) Gold-Creek,난나 굴드벡,여성
405,Ole Bjergklump,Ole (OH-le) Mountain-Lump,올레 비예르그클룸프,남성
406,Pia Jernsmed,Pia (PEE-ah) Iron-Smith,피아 예르은스메드,여성
407,Rasmus Stenbrænder,Rasmus (RAS-mus) Stone-Burner,라스무스 스텐브렌더,남성
408,Sara Malmhals,Sara (SAH-ra) Ore-Neck,사라 말름할스,여성
409,Svend Dybdyk,Svend (SVEND) Deep-Diver,스벤 뒵뒥,남성
410,Thora Jernklemme,Thora (TOH-ra) Iron-Clamp,토라 예르은클렘메,여성
411,Urban Bjergfod,Urban (UR-ban) Mountain-Foot,우르반 비예르그포드,남성
412,Viktoria Stenbrygga,Viktoria (vik-TOH-ria) Stone-Pier,빅토리아 스텐브뤼가,여성
413,Vilhelm Malmsmed,Vilhelm (VIL-helm) Ore-Smith,빌헬름 말름스메드,남성
414,Yvonne Guldsmed,Yvonne (Y-von-ne) Goldsmith,이본 굴드스메드,여성
415,Anton Jernskær,Anton (AN-ton) Iron-Shard,안톤 예르은스케르,남성
416,Britt Bjergkløft,Britt (BRIT) Mountain-Cleft,브리트 비예르그클뢰프트,여성
417,Conrad Stenhård,Conrad (KON-rahd) Stone-Hard,콘라드 스텐호르드,남성
418,Dina Dybhule,Dina (DEE-nah) Deep-Hole,디나 뒵훌레,여성
419,Einar Malmvogter,Einar (AY-nar) Ore-Guardian,에이나르 말름보그터,남성
420,Frederikke Jernkrone,Frederikke (fre-de-RIK-ke) Iron-Crown,프레데리케 예르은크로네,여성
421,Gorm Bjergslyng,Gorm (GORM) Mountain-Sling,고름 비예르그슬링,남성
422,Hilda Stengryd,Hilda (HIL-da) Stone-Grit,힐다 스텐그뤼드,여성
423,Jonas Hammertag,Jonas (YOH-nas) Hammer-Grab,요나스 함메르타그,남성
424,Kajsa Dybklippe,Kajsa (KYE-sah) Deep-Cliff,카이사 뒵클리페,여성
425,Laurits Jernvilje,Laurits (LAU-rits) Iron-Will,라우리츠 예르은빌예,남성
426,Mynte Bjerggrube,Mynte (MYN-te) Mountain-Mine,뮨테 비예르그그루베,여성
427,Niklas Stenøje,Niklas (NIK-las) Stone-Eye,니클라스 스텐외예,남성
428,Olivia Guldmine,Olivia (o-LIV-ia) Gold-Mine,올리비아 굴드미네,여성
429,Peder Jernstøber,Peder (PEH-der) Iron-Caster,페데르 예르은스퇴베르,남성
430,Ronja Bjergslytte,Ronja (RON-ya) Mountain-Listen,론야 비예르그슬뤼테,여성
431,Stefan Stenklods,Stefan (STEH-fan) Stone-Clod,스테판 스텐클로스,남성
432,Tilde Malmgrotte,Tilde (TIL-de) Ore-Grotto,틸데 말름그로테,여성
433,Ulf Jernhjelm,Ulf (ULF) Iron-Helm,울프 예르은히엘름,남성
434,Vera Bjergsind,Vera (VEH-ra) Mountain-Mind,베라 비예르그신,여성
435,Walter Stenhugger,Walter (VAL-ter) Stone-Carver,발테르 스텐후게르,남성
436,Yrsa Jernkiste,Yrsa (YR-sa) Iron-Chest,위르사 예르은키스테,여성
437,Arne Dybmester,Arne (AR-ne) Deep-Master,아르네 뒵메스테르,남성
438,Brita Stenflod,Brita (BRIT-ah) Stone-River,브리타 스텐플로드,여성
439,Igor Morozev,Igor (EE-gor) Frost-Bringer,이고리 모로제프,남성
440,Svetlana Ledyana,Svetlana (sveht-LAH-nah) Icy One,스베틀라나 레디아나,여성
441,Dmitry Gornyak,Dmitry (DMEE-tree) Miner,드미트리 고르냐크,남성
442,Yelena Polyarnaya,Yelena (yel-YEH-nah) Polar One,옐레나 폴랴르나야,여성
443,Nikolai Snezhny,Nikolai (nee-koh-LY) Snowy,니콜라이 스네즈니,남성
444,Olga Severova,Olga (OL-gah) Northern One,올가 세베로바,여성
445,Sergei Skalisty,Sergei (ser-GAY) Rocky,세르게이 스칼리스티,남성
446,Anna Vetrovna,Anna (AN-nah) Wind-Born,안나 베트로브나,여성
447,Alexei Rudnik,Alexei (ah-lek-SAY) Ore-Pit,알렉세이 루드니크,남성
448,Maria Ledovaya,Maria (mah-REE-yah) Ice-Born,마리야 레도바야,여성
449,Vladimir Polyarny,Vladimir (vlah-DEE-meer) Polar,블라디미르 폴랴르니,남성
450,Irina Gromova,Irina (ee-REE-nah) Thunderous,이리나 그로모바,여성
451,Mikhail Mertvy,Mikhail (mee-kha-EEL) Dead (as in frozen ground),미하일 메르트비,남성
452,Natalia Zvezdnaya,Natalia (nah-TAHL-yah) Starry,나탈리아 즈베즈드나야,여성
453,Pavel L'dov,Pavel (PAH-vel) Icy,파벨 리도프,남성
454,Galina Podzemnaya,Galina (gah-LEE-nah) Underground,갈리나 포제므나야,여성
455,Andrei Kholodny,Andrei (ahn-DRAY) Cold,안드레이 홀로드니,남성
456,Ludmila Skalistaya,Ludmila (lood-MEE-lah) Rocky,류드밀라 스칼리스타야,여성
457,Maxim Kameshkov,Maxim (mak-SEEM) Pebbly,막심 카메시코프,남성
458,Yulia Buranovskaya,Yulia (YOO-lee-yah) Blizzard-Born,율리야 부라노프스카야,여성
459,Roman Tayozhny,Roman (roh-MAHN) Taiga-Man,로만 타요즈니,남성
460,Vera Mertvaya,Vera (VEH-rah) Dead (as in frozen ground),베라 메르트바야,여성
461,Igor Ugolny,Igor (EE-gor) Coal-Man,이고리 우골니,남성
462,Polina Gryaznova,Polina (poh-LEE-nah) Muddy (from mining),폴리나 그랴즈노바,여성
463,Artyom Kamennoy,Artyom (ar-TYOM) Stone-Man,아르툠 카멘노이,남성
464,Nadezhda L'dinka,Nadezhda (nah-DEZH-dah) Little Ice Cube,나데즈다 리딘카,여성
465,Gennady Severny,Gennady (gen-NAH-dee) Northern,겐나디 세베르니,남성
466,Larisa Tundrovna,Larisa (lah-REE-sah) Tundra-Born,라리사 툰드로브나,여성
467,Kirill Gorny,Kirill (kee-RILL) Mountainous,키릴 고르니,남성
468,Zoya Zhestokaya,Zoya (ZOY-yah) Cruel (like the north),조야 제스토카야,여성
469,Valery Merzly,Valery (vah-LEH-ree) Frozen,발레리 메르즐리,남성
470,Albina Vetrovka,Albina (al-BEE-nah) Little Wind,알비나 베트로프카,여성
471,Denis Shakhty,Denis (de-NEES) Mine-Shaft,데니스 샤흐티,남성
472,Ksenia Kamenistaya,Ksenia (KSE-nyah) Stony,크세니아 카메니스타야,여성
473,Evgeny Snezhnev,Evgeny (yev-GEN-y) Snow-Man,예브게니 스네즈네프,남성
474,Alexandra Morozova,Alexandra (ah-lek-SAN-drah) Frost-Woman,알렉산드라 모로조바,여성
475,Oleg Polusov,Oleg (OH-leg) Pole-Man,올레그 폴루소프,남성
476,Anastasia Zimnaya,Anastasia (ah-nah-STAH-syah) Wintery,아나스타샤 짐냐야,여성
477,Anatoly Skalny,Anatoly (ah-nah-TOH-ly) Rocky,아나톨리 스칼니,남성
478,Daria Glubokaya,Daria (DAH-ree-yah) Deep,다리야 글루보카야,여성
479,Ruslan Podzemny,Ruslan (ROOS-lan) Underground,루슬란 포제므니,남성
480,Lidia Ledovaya,Lidia (LEE-dee-yah) Ice-Born,리디아 레도바야,여성
481,Victor Severin,Victor (VIK-tor) Northern,빅토르 세베린,남성
482,Raisa Grudaya,Raisa (rah-EE-sah) Chest-Like (solid),라이사 그루다야,여성
483,Stanislav Utesov,Stanislav (stah-nee-SLAV) Cliff-Man,스타니슬라프 우테소프,남성
484,Inna Polyarnaya,Inna (IN-nah) Polar One,인나 폴랴르나야,여성
485,Yuri Grani,Yuri (YOO-ree) Edges (of rock),유리 그라니,남성
486,Elena Zarya,Elena (yel-YEH-nah) Dawn (Northern Lights),옐레나 자랴,여성
487,Vladislav Gornov,Vladislav (vlah-dee-SLAV) Mountain-Man,블라디슬라프 고르노프,남성
488,Alla Suyetskaya,"Alla (AL-lah) From the Cold (Sukhoy, cold wind)",알라 수예츠카야,여성
489,Anton Rudny,Anton (AN-ton) Ore-Related,안톤 루드니,남성
490,Oksana Ledyanaya,Oksana (ok-SAH-nah) Icy,옥사나 레디아나야,여성
491,Konstantin Kholodov,Konstantin (kon-stan-TEEN) Cold-Man,콘스탄틴 홀로도프,남성
492,Marina Snezhnyakova,Marina (mah-REE-nah) Snow-Woman,마리나 스네즈냐코바,여성
493,Artem Vyuzhny,Artem (ar-TYOM) Blustery,아르툠 뷰즈니,남성
494,Lyubov Ledyanina,Lyubov (lyoo-BOV) Icy One,류보프 레디아니나,여성
495,Vadim Morozov,Vadim (vah-DEEM) Frost-Man,바딤 모로조프,남성
496,Svetlana Podzemnaya,Svetlana (sveht-LAH-nah) Underground,스베틀라나 포제므나야,여성
497,Eduard Kamennoy,Eduard (ed-oo-ARD) Stone-Man,에두아르드 카멘노이,남성
498,Veronika Buranovskaya,Veronika (ve-roh-NEE-kah) Blizzard-Born,베로니카 부라노프스카야,여성
499,Vitaly Zimov,Vitaly (vee-TAH-ly) Winter-Man,비탈리 지모프,남성
500,Sofia Tundrovna,Sofia (SOH-fee-yah) Tundra-Born,소피아 툰드로브나,여성
501,Gleb Utesny,Gleb (GLEB) Cliff-Man,글레프 우테스니,남성
502,Elvira Gryaznova,Elvira (el-VEE-rah) Muddy (from mining),엘비라 그랴즈노바,여성
503,Ignat Suyetsky,Ignat (eeg-NAHT) From the Cold (Sukhoy wind),이그나트 수예츠키,남성
504,Eva L'dova,Eva (YEH-vah) Icy,에바 리도바,여성
505,Philip Gorny,Philip (FEE-lip) Mountainous,필리프 고르니,남성
506,Claudia Merzlyakova,Claudia (KLOW-dee-yah) Frozen-Woman,클라우디아 메르즐랴코바,여성
507,Rodion Severov,Rodion (roh-DEE-on) Northern,로디온 세베로프,남성
508,Diana Kholodnaya,Diana (dee-AH-nah) Cold One,디아나 홀로드나야,여성
509,Alexey Rudny,Alexey (ah-lek-SAY) Ore-Related,알렉세이 루드니,남성
510,Angela Zvezdnaya,Angela (AN-geh-lah) Starry,안젤라 즈베즈드나야,여성
511,Rustam Kamysh,"Rustam (roos-TAM) Reed/Cane (thin, strong)",루스탐 카미시,남성
512,Milana Skalistaya,Milana (mee-LAH-nah) Rocky,밀라나 스칼리스타야,여성
513,Timur Polyar,Timur (tee-MOOR) Polar,티무르 폴랴르,남성
514,Regina Buran,Regina (re-GEE-nah) Blizzard,레기나 부란,여성
515,Vyacheslav Gorniy,Vyacheslav (vyah-che-SLAV) Mountainous,뱌체슬라프 고르니,남성
516,Karina Vetrovna,Karina (kah-REE-nah) Wind-Born,카리나 베트로브나,여성
517,Arkady Ugolny,Arkady (ar-KAH-dy) Coal-Man,아르카디 우골니,남성
518,Olga Severina,Olga (OL-gah) Northern One,올가 세베리나,여성
519,Ivan Metel,Ivan (EE-van) Blizzard,이반 메텔,남성
520,Kira Snezhnaya,Kira (KEE-rah) Snowy,키라 스네즈나야,여성
521,Boris Grani,Boris (BOH-ris) Edges (of rock),보리스 그라니,남성
522,Lilia Ledova,Lilia (LEE-lee-yah) Ice-Born,릴리아 레도바,여성
523,Georgy Shakhty,Georgy (GYOR-gy) Mine-Shaft,게오르기 샤흐티,남성
524,Ninel Podzemnova,Ninel (NEE-nel) Underground-Woman,니넬 포제므노바,여성
525,Roman Khladny,Roman (roh-MAHN) Cold,로만 흘라드니,남성
526,Adelina Zvezdina,Adelina (ah-de-LEE-nah) Starry One,아델리나 즈베즈디나,여성
527,Savely Kamenev,Savely (SAH-ve-ly) Stone-Man,사벨리 카메네프,남성
528,Alina Burannaya,Alina (ah-LEE-nah) Blizzard-Related,알리나 부란나야,여성
529,Ruslan Severov,Ruslan (ROOS-lan) Northern,루슬란 세베로프,남성
530,Yana L'dina,Yana (YAH-nah) Ice Block,야나 리디나,여성
531,Arseny Skalov,Arseny (ar-SEH-ny) Rocky,아르세니 스칼로프,남성
532,Valeria Zimina,Valeria (vah-LEH-ree-yah) Winter-Woman,발레리야 지미나,여성
533,Anatoly Morozov,Anatoly (ah-nah-TOH-ly) Frost-Man,아나톨리 모로조프,남성
534,Zlata Merzlyak,Zlata (ZLAH-tah) Frozen One,즐라타 메르즐랴크,여성
535,Kivi Vuorinen,Kivi (KEE-vee) of the Mountain,키비 부오리넨,남성
536,Aino Kalliotar,Aino (AI-noh) Rock Maiden,아이노 칼리오타르,여성
537,Pekka Rautakangas,Pekka (PEK-kah) Iron-Ridge,페카 라우타캉가스,남성
538,Hilla Louhitar,Hilla (HIL-lah) Quarry Maiden,힐라 로우히타르,여성
539,Ilmari Hiilinen,Ilmari (IL-mah-ri) Coal-Man,일마리 히일리넨,남성
540,Tuuli Järvinen,Tuuli (TOO-li) of the Lake (Deep Earth),투울리 야르비넨,여성
541,Jalo Kivipuro,Jalo (JAH-lo) Stone-Brook,얄로 키비푸로,남성
542,Satu Malmitar,Satu (SAH-too) Ore Maiden,사투 말미타르,여성
543,Väinö Vasarainen,Väinö (VAI-noh) Hammer-Man,배이뇌 바사라이넨,남성
544,Lempi Jäävuori,Lempi (LEM-pi) Ice-Mountain,렘피 야애부오리,여성
545,Antti Louhi,Antti (ANT-ti) Quarry,안티 로우히,남성
546,Elina Routatar,Elina (E-li-na) Frost Maiden,엘리나 로우타타르,여성
547,Eero Sysimetsä,Eero (E-roh) Black-Forest,에로 쉬시메차,남성
548,Kerttu Kuoppatar,Kerttu (KERT-too) Pit Maiden,케르투 쿠오파타르,여성
549,Lauri Rautio,Lauri (LAU-ri) Iron-Worker,라우리 라우티오,남성
550,Maria Louhenpuro,Maria (MAH-ri-a) Quarry-Brook,마리아 로우헨푸로,여성
551,Oskari Kivenkova,Oskari (OS-kah-ri) Stone-Hard,오스카리 키벤코바,남성
552,Päivi Syväjärvi,Päivi (PAI-vi) Deep-Lake,패이비 쉬배야르비,여성
553,Reino Rautamäki,Reino (REI-noh) Iron-Hill,레이노 라우타매키,남성
554,Siiri Kalliojärvi,Siiri (SEE-ri) Rock-Lake,시리 칼리오야르비,여성
555,Tapani Malmio,Tapani (TAH-pah-ni) Ore-Man,타파니 말미오,남성
556,Ulla Louhimies,Ulla (UL-lah) Quarry-Man (female version),울라 로우히미에스,여성
557,Veikko Vuorinen,Veikko (VEI-koh) Mountain-Man,베이코 부오리넨,남성
558,Vuokko Routavaara,Vuokko (VUOK-koh) Frost-Hill,부오코 로우타바라,여성
559,Ahto Kivenperä,Ahto (AH-toh) Stone-End,아흐토 키벤페래,남성
560,Brita Hiekkaranta,Brita (BREE-tah) Sand-Shore,브리타 히엑카란타,여성
561,Erkki Teräskäsi,Erkki (ERK-ki) Steel-Hand,에르키 테래스캐시,남성
562,Eveliina Jäinen,Eveliina (E-ve-LEE-na) Icy,에벨리이나 야애이넨,여성
563,Heikki Kalliola,Heikki (HEIK-ki) Rocky-Place,헤이키 칼리올라,남성
564,Ilona Syvälehto,Ilona (I-lo-na) Deep-Grove,일로나 쉬배레흐토,여성
565,Juho Rautajalka,Juho (YOO-ho) Iron-Leg,유호 라우타얄카,남성
566,Johanna Kivijärvi,Johanna (YOH-han-na) Stone-Lake,요한나 키비야르비,여성
567,Kosti Louhioja,Kosti (KOS-ti) Quarry-Stream,코스티 로우히오야,남성
568,Lotta Malmikoski,Lotta (LOT-tah) Ore-Rapids,로타 말미코스키,여성
569,Mikko Kivijärvi,Mikko (MIK-koh) Stone-Lake,미코 키비야르비,남성
570,Niina Louhisola,Niina (NEE-nah) Quarry-Plain,니이나 로우히솔라,여성
571,Olavi Rautakylä,Olavi (O-lah-vi) Iron-Village,올라비 라우타퀼래,남성
572,Pihla Vuorenmaa,Pihla (PIH-lah) Mountain-Land,피흘라 부오렌마,여성
573,Risto Teräsmies,Risto (RIS-toh) Steel-Man,리스토 테래스미에스,남성
574,Saara Sysilahti,Saara (SAH-rah) Black-Bay,사아라 쉬시라흐티,여성
575,Sami Kallioinen,Sami (SAH-mi) Rocky,사미 칼리오이넨,남성
576,Taina Routakangas,Taina (TAI-nah) Frost-Ridge,타이나 로우타캉가스,여성
577,Tuomas Louhenkallio,Tuomas (TOO-oh-mas) Quarry-Rock,투오마스 로우헨칼리오,남성
578,Vilja Jäävirta,Vilja (VIL-yah) Ice-Stream,빌야 야애비르타,여성
579,Vesa Kivinen,Vesa (VE-sah) Stony,베사 키비넨,남성
580,Anneli Rautasaari,Anneli (AN-ne-li) Iron-Island,안넬리 라우타사리,여성
581,Arvo Malmikaivos,Arvo (AR-vo) Ore-Mine,아르보 말미카이보스,남성
582,Laura Louhenranta,Laura (LAU-rah) Quarry-Shore,라우라 로우헨란타,여성
583,Eino Kalliovirta,Eino (EI-noh) Rock-Stream,에이노 칼리오비르타,남성
584,Maija Syväsalmi,Maija (MAI-yah) Deep-Strait,마이야 쉬배살미,여성
585,Hannu Rautakorpi,Hannu (HAN-noo) Iron-Wilderness,한누 라우타코르피,남성
586,Minna Routamäki,Minna (MIN-nah) Frost-Hill,민나 로우타매키,여성
587,Ilkka Kivijalo,Ilkka (IL-kah) Stone-Noble,일카 키비얄로,남성
588,Oona Jäälahti,Oona (OH-na) Ice-Bay,오나 야애라흐티,여성
589,Jesse Malmiranta,Jesse (JES-se) Ore-Shore,옛세 말미란타,남성
590,Pia Louhenpesä,Pia (PEE-ah) Quarry-Nest,피아 로우헨페새,여성
591,Kaarlo Rautapää,Kaarlo (KAAR-lo) Iron-Head,카를로 라우타패애,남성
592,Riikka Kallio,Riikka (RIIK-kah) Rocky,리이카 칼리오,여성
593,Lauri Louhioja,Lauri (LAU-ri) Quarry-Stream,라우리 로우히오야,남성
594,Sari Teräs,Sari (SAH-ri) Steel,사리 테래스,여성
595,Matti Kivenkajo,Matti (MAT-ti) Stone-Glow,마티 키벤카요,남성
596,Tanja Rautavuori,Tanja (TAN-yah) Iron-Mountain,탄야 라우타부오리,여성
597,Niko Järvinen,Niko (NEE-koh) of the Lake,니코 야르비넨,남성
598,Veera Louhenpuro,Veera (VEE-rah) Quarry-Brook,베에라 로우헨푸로,여성
599,Oskari Kivinen,Oskari (OS-kah-ri) Stony,오스카리 키비넨,남성
600,Vilma Malminen,Vilma (VIL-mah) Ore-Maiden,빌마 말미넨,여성
601,Paavo Rautalampi,Paavo (PAH-vo) Iron-Pond,파보 라우타람피,남성
602,Essi Routanen,Essi (ES-si) Frosty,엣시 로우타넨,여성
603,Rami Kallionen,Rami (RAH-mi) Rocky,라미 칼리오넨,남성
604,Heli Jääkivi,Heli (HEH-li) Ice-Stone,헬리 야애키비,여성
605,Sulo Vuorinen,Sulo (SOO-lo) Mountainous,술로 부오리넨,남성
606,Jenna Malmi,Jenna (JEN-nah) Ore,옌나 말미,여성
607,Timo Kivenmurtaja,Timo (TEE-moh) Stone-Breaker,티모 키벤무르타야,남성
608,Kaisa Louhi,Kaisa (KAI-sah) Quarry,카이사 로우히,여성
609,Urho Rautala,Urho (UR-ho) Iron-Strong,우르호 라우탈라,남성
610,Minja Rautavaara,Minja (MIN-yah) Iron-Hill,민야 라우타바라,여성
611,Vili Kallionokka,Vili (VIL-i) Rock-Beak,빌리 칼리오노카,남성
612,Netta Syvävirta,Netta (NET-tah) Deep-Stream,네타 쉬배비르타,여성
613,Akseli Malmikenttä,Akseli (AK-se-li) Ore-Field,악셀리 말미켄태,남성
614,Outi Louhenkolo,Outi (OU-ti) Quarry-Hole,아우티 로우헨콜로,여성
615,Erno Rautakivi,Erno (ER-noh) Iron-Stone,에르노 라우타키비,남성
616,Sini Jääsydän,Sini (SEE-ni) Ice-Heart,시니 야애쉬댄,여성
617,Heimo Kivinen,Heimo (HEI-moh) Stony,헤이모 키비넨,남성
618,Tuulia Routanen,Tuulia (TOO-li-a) Frosty,투울리아 로우타넨,여성
619,Jani Louhivuori,Jani (JAH-ni) Quarry-Mountain,야니 로우히부오리,남성
620,Valpuri Malmialho,Valpuri (VAL-poo-ri) Ore-Depth,발푸리 말미알호,여성
621,Jyrki Rautakangas,Jyrki (JYR-ki) Iron-Ridge,위르키 라우타캉가스,남성
622,Aada Kalliojärvi,Aada (AH-da) Rock-Lake,아다 칼리오야르비,여성
623,Lassi Kivipato,Lassi (LAS-si) Stone-Dam,랏시 키비파토,남성
624,Eeva Louhinmäki,Eeva (E-vah) Quarry-Hill,에에바 로우힌매키,여성
625,Markku Malmiranta,Markku (MARK-koo) Ore-Shore,마르크 말미란타,남성
626,Iiris Rautajalka,Iiris (EE-ris) Iron-Leg,이이리스 라우타얄카,여성
627,Björn Bergfótur,Björn (BYURN) Mountain-Foot,비외른 베르그포투르,남성
628,Astrid Steinþór,Astrid (AH-strid) Stone-Thor,아스트리드 스타인토르,여성
629,Gunnar Malmur,Gunnar (GOON-nar) Ore-Man,군나르 말무르,남성
630,Freya Djúpauga,Freya (FREH-ya) Deep-Eye,프레야 디우파우가,여성
631,Haki Hamarsmiður,Haki (HAH-ki) Hammer-Smith,하키 하마르스미뒤르,남성
632,Inga Bergljót,Inga (ING-ga) Mountain-Light,인가 베르그료트,여성
633,Kári Grjóthamar,Kári (KAU-ri) Rock-Hammer,카우리 그료트하마르,남성
634,Linnea Urðardóttir,Linnea (lin-NAY-a) Cairn-Daughter,린네아 우르다르도티르,여성
635,Magnús Hólmsteinn,Magnús (MAG-noos) Island-Stone,마그누스 홀름스타인,남성
636,Nóra Djúpdal,Nóra (NOH-ra) Deep-Valley,노라 디우프달,여성
637,Ólafur Járnhönd,Ólafur (OH-la-vur) Iron-Hand,올라푸르 야른회든,남성
638,Ragna Steindís,Ragna (RAG-na) Stone-Goddess,라그나 스타인디스,여성
639,Sigurður Myrkasteinn,Sigurður (SEE-gur-dhur) Dark-Stone,시구르뒤르 뮈르카스타인,남성
